front,side,height_cm,backend,device,pixels_per_cm,chest_cm,waist_cm,hip_cm,thigh_cm,shoulder_width_cm,inseam_cm
.\data\L_front2.jpg,.\data\L_side2.jpg,190.0,deeplabv3,cuda,10.526315789473685,122.32024221905334,93.66904656602817,113.17985905434861,64.64898586954313,52.44,69.065
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,87.81020762631152,66.23180057906933,95.83417482383605,60.02742526041018,37.995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,87.81020762631152,66.23180057906933,87.2107940120463,60.02742526041018,37.995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,87.81020762631152,66.23180057906933,56.52097524069034,60.02742526041018,37.995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,83.67092604338092,66.23180057906933,97.44569154568102,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,79.20709557184112,68.30057607767544,0.0,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,79.20709557184112,68.30057607767544,0.0,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,66.38445008109879,97.50918564218905,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,66.38445008109879,104.39487969815885,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,96.58207446259725,104.39487969815885,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,85.09392734523905,104.39487969815885,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,82.62597974597355,104.39487969815885,60.02742526041018,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,82.62597974597355,109.85372267347255,59.779976680143356,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,82.62597974597355,92.28936320910105,59.779976680143356,38.504999999999995,56.099999999999994
.\data\R_front.jpg,.\data\R_side.jpg,170.0,deeplabv3,cuda,11.764705882352942,90.61161947864097,82.62597974597355,109.85372267347255,59.779976680143356,38.504999999999995,56.099999999999994
